No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,1,2,3,4,5,6,7,8,Sum
52, 0.38 ,D,Rodon,LEE, 4.0 ,,,,, 3.48 , 2.07 , 2.67 , 2.65 , 2.98 , 2.81 , 2.71 , 3.23 , 22.60 
53, 0.33 ,D,De Ligt,MUN, 5.0 ,,,,, 2.82 , 2.98 , 3.99 , 1.93 , 2.64 , 2.75 , 3.61 , 1.79 , 22.51 
54, 0.38 ,D,Cash,AVL, 4.5 ,,,,, 2.90 , 2.76 , 3.14 , 2.91 , 3.32 , 3.15 , 3.83 , 2.27 , 24.26 
55, 0.34 ,D,Truffert,BOU, 4.5 ,,,,, 1.74 , 3.85 , 2.39 , 2.98 , 2.74 , 2.84 , 3.21 , 2.56 , 22.31 
56, 0.33 ,D,Todibo,WHM, 4.5 ,,,,, 3.30 , 2.41 , 2.78 , 2.61 , 2.88 , 2.79 , 1.93 , 2.91 , 21.61 
57, 0.19 ,D,Matheus N.,MCI, 5.5 ,,,,, 2.62 , 2.28 , 1.94 , 2.12 , 1.58 , 2.74 , 2.13 , 2.43 , 17.85 
58, 0.31 ,D,Bassey,FUL, 4.5 ,,,,, 2.52 , 2.89 , 2.07 , 3.28 , 3.04 , 2.23 , 2.41 , 2.29 , 20.73 
59, 0.36 ,D,Gudmundsson,LEE, 4.0 ,,,,, 3.52 , 1.73 , 2.61 , 2.50 , 2.79 , 2.83 , 2.63 , 3.15 , 21.75 
60, 0.25 ,D,Maatsen,AVL, 4.5 ,,,,, 2.32 , 2.15 , 2.50 , 2.18 , 2.68 , 2.51 , 3.12 , 1.85 , 19.30 
61, 0.23 ,D,Kayode,BRE, 4.5 ,,,,, 2.48 , 2.31 , 2.62 , 1.83 , 1.95 , 2.04 , 1.56 , 2.05 , 16.83 
62, 0.33 ,D,Ekdal,BUR, 4.0 ,,,,, 2.40 , 3.72 , 2.25 , 1.98 , 2.81 , 1.50 , 1.89 , 2.56 , 19.11 
63, 0.20 ,D,White,ARS, 5.5 ,,,,, 2.24 , 2.92 , 1.55 , 2.44 , 1.77 , 1.84 , 2.52 , 2.11 , 17.39 
64, 0.37 ,D,Esteve,BUR, 4.0 ,,,,, 2.52 , 3.80 , 2.45 , 2.18 , 3.29 , 1.82 , 2.28 , 3.21 , 21.55 
65, 0.27 ,D,Bogle,LEE, 4.5 ,,,,, 2.41 , 1.67 , 2.64 , 2.52 , 2.85 , 2.92 , 2.64 , 3.23 , 20.89 
66, 0.27 ,D,Walker,BUR, 4.5 ,,,,, 1.97 , 3.51 , 1.93 , 1.65 , 2.72 , 1.27 , 1.82 , 2.83 , 17.69 
67, 0.36 ,D,Ballard,SUN, 4.5 ,,,,, 3.27 , 3.34 , 3.05 , 2.43 , 2.42 , 2.45 , 2.04 , 3.04 , 22.03 
68, 0.28 ,D,Pau,AVL, 4.5 ,,,,, 2.45 , 2.39 , 2.69 , 2.46 , 2.80 , 2.72 , 3.26 , 1.98 , 20.76 
